heart q_lv_init,aortic_root C,heart E_lv_A,heart E_lv_B,venous_svc C,heart E_rv_A,heart E_rv_B,venous_svc R
3.38139e-01, 3.71863e-01, 7.39597e-01, 9.72539e-01, 7.33878e-01, 1.04364e-01, 9.96842e-01, 5.97440e-01
3.33144e-01, 4.33846e-01, 7.10307e-01, 8.73712e-01, 7.19121e-01, 1.10805e-01, 1.00000e+00, 6.30395e-01
3.19179e-01, 3.75834e-01, 7.29756e-01, 9.77371e-01, 8.65240e-01, 0.00000e+00, 1.00000e+00, 5.94227e-01
2.98773e-01, 3.22297e-01, 8.12248e-01, 7.64142e-01, 8.83551e-01, 0.00000e+00, 8.95859e-01, 5.86145e-01
2.98773e-01, 3.22297e-01, 8.12248e-01, 7.64142e-01, 8.83551e-01, 0.00000e+00, 8.95859e-01, 5.86145e-01
2.13239e-01, 3.61654e-01, 5.58824e-01, 8.89239e-01, 4.66277e-01, 0.00000e+00, 9.83293e-01, 1.13699e-01
2.31305e-01, 4.65423e-01, 5.55281e-01, 8.03996e-01, 4.33185e-01, 1.35003e-01, 9.89377e-01, 3.98922e-01
2.18512e-01, 4.11474e-01, 9.39569e-01, 1.00000e+00, 4.83496e-01, 0.00000e+00, 1.00000e+00, 8.63364e-02
2.18512e-01, 4.11474e-01, 9.39569e-01, 1.00000e+00, 4.83496e-01, 0.00000e+00, 1.00000e+00, 8.63364e-02
2.22056e-01, 3.46190e-01, 1.00000e+00, 1.00000e+00, 6.35860e-01, 0.00000e+00, 1.00000e+00, 0.00000e+00
2.18179e-01, 4.56411e-01, 9.35535e-01, 1.00000e+00, 5.12872e-01, 0.00000e+00, 1.00000e+00, 7.89489e-02
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
2.03157e-01, 5.42333e-01, 9.24986e-01, 9.69656e-01, 4.21328e-01, 0.00000e+00, 9.04028e-01, 0.00000e+00
1.87814e-01, 4.88973e-01, 8.90325e-01, 1.00000e+00, 3.82905e-01, 0.00000e+00, 9.31670e-01, 0.00000e+00
